OID_ZCTA5_20,GEOID_ZCTA5_20,NAMELSAD_ZCTA5_20,AREALAND_ZCTA5_20,AREAWATER_ZCTA5_20,MTFCC_ZCTA5_20,CLASSFP_ZCTA5_20,FUNCSTAT_ZCTA5_20,OID_PLACE_20,GEOID_PLACE_20,NAMELSAD_PLACE_20,AREALAND_PLACE_20,AREAWATER_PLACE_20,MTFCC_PLACE_20,CLASSFP_PLACE_20,FUNCSTAT_PLACE_20,AREALAND_PART,AREAWATER_PART
221704257878613,12780,ZCTA5 12780,63884518,1967708,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,58556531,1785060
221704257878613,12780,ZCTA5 12780,63884518,1967708,G6350,B5,S,2809015922367382,3670090,Sparrow Bush CDP,7273092,182648,G4210,U1,S,5327987,182648
221704257878614,12781,ZCTA5 12781,7483717,0,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,7483717,0
221704257878617,12783,ZCTA5 12783,82185787,2856995,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,76542475,2291743
221704257878617,12783,ZCTA5 12783,82185787,2856995,G6350,B5,S,2809015682491682,3647977,Mongaup Valley CDP,12991516,211044,G4210,U1,S,1212084,0
221704257878617,12783,ZCTA5 12783,82185787,2856995,G6350,B5,S,2809015682491674,3672400,Swan Lake CDP,4431228,565252,G4210,U1,S,4431228,565252
221704257878618,12784,ZCTA5 12784,3197323,17004,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,3197323,17004
221704257878620,12785,ZCTA5 12785,35187803,361094,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,35187803,361094
221704257878621,12786,ZCTA5 12786,44437402,7253467,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,40681881,6030496
221704257878621,12786,ZCTA5 12786,44437402,7253467,G6350,B5,S,2809015682491683,3638985,Kauneonga Lake CDP,2966210,497290,G4210,U1,S,137876,460374
221704257878621,12786,ZCTA5 12786,44437402,7253467,G6350,B5,S,28090737069179,3667730,Smallwood CDP,6222629,323847,G4210,U1,S,1322219,57999
221704257878621,12786,ZCTA5 12786,44437402,7253467,G6350,B5,S,2809015682491698,3681655,White Lake CDP,2295426,704598,G4210,U1,S,2295426,704598
221704257878622,12787,ZCTA5 12787,6579166,4208,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,6579166,4208
