county,zip,state,n
CHENANGO,37072,TN,1
CHENANGO,38150,TN,1
CHENANGO,60016,IL,1
CHENANGO,60173,IL,1
CHENANGO,93950,CA,1
FULTON,08048,NJ,8
FULTON,10044,NY,1
FULTON,10541,NY,1
FULTON,10595,NY,1
FULTON,10981,NY,1
FULTON,11104,NY,1
FULTON,11378,NY,1
FULTON,12010,NY,427
FULTON,12018,NY,1
FULTON,12020,NY,3
FULTON,12025,NY,854
FULTON,12027,NY,2
FULTON,12032,NY,166
FULTON,12065,NY,2
FULTON,12068,NY,7
FULTON,12070,NY,42
FULTON,12072,NY,1
FULTON,12078,NY,2724
FULTON,12086,NY,22
FULTON,12089,NY,2
FULTON,12095,NY,1817
FULTON,12101,NY,1
FULTON,12117,NY,500
FULTON,12122,NY,1
FULTON,12134,NY,480
FULTON,12164,NY,1
FULTON,12177,NY,3
FULTON,12190,NY,1
FULTON,12198,NY,1
FULTON,12207,NY,1
FULTON,12226,NY,4
FULTON,12232,NY,31
FULTON,12233,NY,5
FULTON,12306,NY,1
FULTON,12561,NY,1
FULTON,12842,NY,1
FULTON,13069,NY,20
FULTON,13134,NY,1
FULTON,13166,NY,1
FULTON,13329,NY,84
FULTON,13339,NY,41
FULTON,13452,NY,190
FULTON,13470,NY,90
FULTON,13669,NY,1
FULTON,21117,MD,2
FULTON,30009,GA,2
FULTON,60016,IL,2
FULTON,60143,IL,1
FULTON,60173,IL,1
FULTON,75062,TX,4
MADISON,01105,MA,1
MADISON,08054,NJ,4
MADISON,10001,IL,1
MADISON,10001,NY,1
MADISON,10280,NY,1
MADISON,11514,NY,1
MADISON,11735,NY,1
MADISON,11788,NY,1
MADISON,12207,NY,1
MADISON,12232,NY,7
MADISON,12962,NY,4
MADISON,13021,NY,1
MADISON,13022,NY,1
MADISON,13030,NY,290
MADISON,13032,NY,1890
MADISON,13035,NY,1543
MADISON,13036,NY,1
MADISON,13037,NY,1633
MADISON,13039,NY,1
MADISON,13043,NY,2
MADISON,13051,NY,2
MADISON,13052,NY,229
MADISON,13054,NY,6
MADISON,13061,NY,181
MADISON,13063,NY,2
MADISON,13072,NY,94
MADISON,13082,NY,255
MADISON,13088,NY,1
MADISON,13090,NY,1
MADISON,13092,NY,1
MADISON,13104,NY,23
MADISON,13114,NY,1
MADISON,13122,NY,134
MADISON,13134,NY,8
