cty,stplc,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,n_blocks
36027,3647361,520,0,0,0,44,6,46,174,10,5,2,3,20,0,42,0,45,0,53,21,49,16
36027,3649363,2131,8,0,5,121,88,244,731,18,1,25,23,140,16,363,14,172,4,114,44,0,51
36027,3650265,609,0,0,1,18,0,21,2,0,0,0,0,5,0,481,0,8,0,45,27,1,7
36027,3650276,37,3,0,0,5,0,0,10,0,0,0,0,2,0,1,0,0,10,0,3,3,6
36027,3656814,888,15,0,0,33,134,0,61,14,17,21,8,17,0,27,260,62,0,96,17,106,20
36027,3658145,353,0,0,0,22,4,4,43,0,2,0,0,19,0,16,142,4,3,80,14,0,13
36027,3658684,969,0,0,2,61,2,27,161,0,16,38,24,24,0,45,9,373,0,141,46,0,14
36027,3659641,14032,0,2,0,472,541,207,629,79,158,240,216,524,524,989,908,6203,93,974,689,584,186
36027,3660895,980,0,0,0,115,11,33,87,0,49,37,53,63,6,2,116,86,0,160,136,26,23
36027,3660983,574,0,0,0,64,2,13,59,90,0,7,5,37,0,45,47,58,7,105,35,0,25
36027,3661346,3101,0,0,0,66,1,18,425,0,20,42,10,144,0,63,334,1172,21,645,94,46,31
36027,3661368,49,0,0,0,0,1,0,2,0,8,0,0,7,0,0,0,4,1,24,2,0,8
36027,3664892,46,0,0,0,4,0,0,3,0,0,0,0,4,0,0,0,10,0,9,16,0,4
36027,3667207,26,0,0,0,5,0,0,0,0,0,0,2,2,0,16,0,1,0,0,0,0,7
36027,3670035,622,0,0,0,10,0,5,16,0,0,7,4,22,0,19,482,17,0,28,12,0,24
36027,3670552,67,0,0,0,25,0,0,12,0,0,0,0,0,0,1,0,14,0,15,0,0,6
36027,3674017,62,0,0,0,7,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0,0,2
36027,3674023,166,4,0,0,10,5,9,9,0,3,0,2,11,0,4,3,11,9,85,1,0,10
36027,3676397,50,0,0,0,6,0,0,15,0,0,5,7,2,4,0,0,0,0,2,9,0,5
36027,3676985,2372,0,0,0,2,0,4,2,0,1,0,0,5,1,1,2339,1,0,15,1,0,4
36027,3678168,3733,14,0,2,73,0,17,546,2,37,35,54,65,6,20,1857,292,34,532,78,69,38
36027,3678476,133,0,0,0,4,88,0,11,0,0,0,0,9,0,5,0,0,0,15,1,0,7
36027,3682579,219,0,0,0,31,2,11,21,0,8,0,0,0,0,0,88,23,0,33,2,0,9
36027,9999999,53101,687,289,1187,3586,6119,1066,7346,2838,621,1542,727,1966,282,2990,4153,7652,760,3386,1982,3922,1228
36029,3600441,1785,0,0,0,114,925,22,121,9,14,23,4,9,59,2,279,28,0,99,20,57,22
36029,3601088,1312,3,8,0,238,50,6,276,96,2,82,2,44,0,0,270,57,0,127,28,23,20
36029,3602198,255,0,0,16,2,0,91,19,5,3,0,0,2,0,17,0,46,2,9,25,18,21
36029,3602220,172,0,0,0,11,0,1,39,4,0,10,12,0,4,3,0,34,0,53,1,0,7
36029,3606574,1255,0,0,0,41,857,57,16,20,14,6,2,19,0,4,22,132,21,30,14,0,16
36029,3606849,992,0,0,1,11,90,115,80,258,0,20,4,14,0,34,78,31,0,180,30,46,26
36029,3611000,147792,23,32,1258,3647,10886,4452,7293,4543,2888,8482,2434,12851,4286,6680,15600,30910,3787,10430,5748,11562,1620
36029,3615000,43276,1,17,0,1803,3576,2941,6856,4091,820,1712,780,1778,1487,2872,2111,4118,338,4652,1641,1682,390
36029,3615814,1003,0,0,0,53,0,0,49,1,6,10,90,49,44,2,1,493,11,98,96,0,19
