fiscal_year_ended,taxing_jurisdiction,jurisdiction_code,amount_distributed
2015,Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental,126,45047632
2015,"City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services",127,7010944
2016,New York State Sales and Use Tax,1,12782651496
2016,New York City Sales and Use Tax,2,7153432596
2016,Municipal Assistance Corporation Sales and Use Tax,3,0
2016,Metropolitan Commuter Transportation District Sales and Use Tax,4,647127755
2016,Albany County Sales and Use Tax,5,251654489
2016,Allegany County Sales and Use Tax,6,19295060
2016,Broome County Sales and Use Tax,7,119069475
2016,Cattaraugus County Sales and Use Tax,8,35848900
2016,Cayuga County Sales and Use Tax,9,33593689
2016,Chautauqua County Sales and Use Tax,10,55020410
2016,Chemung County Sales and Use Tax,11,56347212
2016,Chenango County Sales and Use Tax,12,20363423
2016,Clinton County Sales and Use Tax,13,50611321
2016,Columbia County Sales and Use Tax,14,35395890
2016,Cortland County Sales and Use Tax,15,27752736
2016,Delaware County Sales and Use Tax,16,19716747
2016,Dutchess County Sales and Use Tax,17,174413076
2016,Erie County Sales and Use Tax,18,728267106
2016,Essex County Sales and Use Tax,19,27139896
2016,Franklin County Sales and Use Tax,20,20830050
2016,Fulton County Sales and Use Tax,21,19161401
2016,Genesee County Sales and Use Tax,22,37712927
2016,Greene County Sales and Use Tax,23,29599267
2016,Hamilton County Sales and Use Tax,24,3841352
2016,Herkimer County Sales and Use Tax,25,30830829
2016,Jefferson County Sales and Use Tax,26,69526293
2016,Lewis County Sales and Use Tax,27,11664383
2016,Livingston County Sales and Use Tax,28,30401040
2016,Madison County Sales and Use Tax,29,25665898
2016,Monroe County Sales and Use Tax,30,454338060
2016,Montgomery County Sales and Use Tax,31,27284552
2016,Nassau County Sales and Use Tax,32,1105153156
2016,Niagara County Sales and Use Tax,33,117012927
2016,Oneida County Sales and Use Tax,34,128650761
2016,Onondaga County Sales and Use Tax,35,337055177
2016,Ontario County Sales and Use Tax,36,78825740
2016,Orange County Sales and Use Tax,37,264403013
2016,Orleans County Sales and Use Tax,38,15440560
2016,Oswego County Sales and Use Tax,39,41063712
