block,place_fips
360010128003014,3616749
360010128003015,3616749
360010128003016,3616749
360010128004000,3616749
360010128004001,3616749
360010128004002,3616749
360010128004003,3616749
360010128004004,3616749
360010128004005,3616749
360010128004006,3616749
360010128004007,3616749
360010128004008,3616749
360010128004009,3616749
360010128004010,3616749
360010128004011,3616749
360010128004012,3616749
360010128004013,3616749
360010128004014,3616749
360010128004015,3616749
360010128004016,3616749
360010129001000,3616749
360010129001001,3616749
360010129001002,3616749
360010129001003,3616749
360010129001004,3616749
360010129001005,3616749
360010129001006,3616749
360010129001007,3616749
360010129001008,3616749
360010129001009,3616749
360010129001010,3616749
360010129001011,3616749
360010129001012,3616749
360010129001013,3616749
360010129001014,3616749
360010129001015,3616749
360010129001016,3616749
360010129001017,3616749
360010129001018,3616749
360010129001019,3616749
360010129001020,3616749
360010129002000,3616749
360010129002001,3616749
360010129002002,3616749
360010129002003,3616749
360010129002004,3616749
360010129002005,3616749
360010129002006,3616749
360010129002007,3616749
360010129002008,3616749
360010129002009,3616749
360010129002010,3616749
360010129002011,3616749
360010129002012,3616749
360010129002013,3616749
360010129002014,3616749
360010129002015,3616749
360010129003000,3616749
360010129003001,3616749
360010129003002,3616749
360010129003003,3616749
360010129003004,3616749
360010129003005,3616749
360010129003006,3616749
360010129003007,3616749
360010129004000,3616749
360010129004001,3616749
360010129004002,3616749
360010129004003,3616749
360010129004004,3616749
360010129004005,3616749
360010129004006,3616749
360010129004007,3616749
360010129004008,3616749
360010129004009,3616749
360010130001000,3616749
360010130001001,3616749
360010130001002,3616749
360010130001003,3616749
360010130001004,3616749
360010130001005,3616749
360010130001006,3616749
360010130001007,3616749
360010130001008,3616749
360010130001009,3616749
360010130001010,3616749
360010130001011,3616749
360010130001012,3616749
360010130001013,3616749
